"","unit_id","unit_type","step","month_id","last_month_id_of_data_used","chadefaux_s6"
"428",1,"cm",6,445,439,0.00754664858045989
"429",1,"cm",6,446,440,0.00754664858045989
"430",1,"cm",6,447,441,0.00754664858045989
"431",1,"cm",6,448,442,0.00754664858045989
"432",1,"cm",6,449,443,0.00754664858045989
"433",1,"cm",6,450,444,0.00754664858045989
"434",1,"cm",6,451,445,0.00754664858045989
"435",1,"cm",6,452,446,0.00754664858045989
"436",1,"cm",6,453,447,0.00754664858045989
"437",1,"cm",6,454,448,0.00754664858045989
"438",1,"cm",6,455,449,0.00754664858045989
"439",1,"cm",6,456,450,0.00754664858045989
"440",1,"cm",6,457,451,0.00754664858045989
"441",1,"cm",6,458,452,0.00754664858045989
"442",1,"cm",6,459,453,0.00754664858045989
"443",1,"cm",6,460,454,0.00754664858045989
"444",1,"cm",6,461,455,0.00754664858045989
"445",1,"cm",6,462,456,0.00754664858045989
"446",1,"cm",6,463,457,0.00754664858045989
"447",1,"cm",6,464,458,0.00754664858045989
"448",1,"cm",6,465,459,0.00754664858045989
"449",1,"cm",6,466,460,0.00754664858045989
"450",1,"cm",6,467,461,0.00754664858045989
"451",1,"cm",6,468,462,0.00754664858045989
"452",1,"cm",6,469,463,0.00754664858045989
"453",1,"cm",6,470,464,0.00754664858045989
"454",1,"cm",6,471,465,0.00754664858045989
"455",1,"cm",6,472,466,0.00754664858045989
"456",1,"cm",6,473,467,0.00754664858045989
"457",1,"cm",6,474,468,0.00754664858045989
"458",1,"cm",6,475,469,0.00754664858045989
"459",1,"cm",6,476,470,0.00754664858045989
"460",1,"cm",6,477,471,0.00754664858045989
"461",1,"cm",6,478,472,0.00754664858045989
"462",1,"cm",6,479,473,0.00754664858045989
"463",1,"cm",6,480,474,0.00754664858045989
"1029",2,"cm",6,445,439,0.00754664858045989
"1030",2,"cm",6,446,440,0.00754664858045989
"1031",2,"cm",6,447,441,0.00754664858045989
"1032",2,"cm",6,448,442,0.00754664858045989
"1033",2,"cm",6,449,443,0.00754664858045989
"1034",2,"cm",6,450,444,0.00754664858045989
"1035",2,"cm",6,451,445,0.00754664858045989
"1036",2,"cm",6,452,446,0.00754664858045989
"1037",2,"cm",6,453,447,0.00754664858045989
"1038",2,"cm",6,454,448,0.00754664858045989
"1039",2,"cm",6,455,449,0.00754664858045989
"1040",2,"cm",6,456,450,0.00754664858045989
"1041",2,"cm",6,457,451,0.00754664858045989
"1042",2,"cm",6,458,452,0.00754664858045989
"1043",2,"cm",6,459,453,0.00754664858045989
"1044",2,"cm",6,460,454,0.00754664858045989
"1045",2,"cm",6,461,455,0.00754664858045989
"1046",2,"cm",6,462,456,0.00754664858045989
"1047",2,"cm",6,463,457,0.00754664858045989
"1048",2,"cm",6,464,458,0.00754664858045989
"1049",2,"cm",6,465,459,0.00754664858045989
"1050",2,"cm",6,466,460,0.00754664858045989
"1051",2,"cm",6,467,461,0.00754664858045989
"1052",2,"cm",6,468,462,0.00754664858045989
"1053",2,"cm",6,469,463,0.00754664858045989
"1054",2,"cm",6,470,464,0.00754664858045989
"1055",2,"cm",6,471,465,0.00754664858045989
"1056",2,"cm",6,472,466,0.00754664858045989
"1057",2,"cm",6,473,467,0.00754664858045989
"1058",2,"cm",6,474,468,0.00754664858045989
"1059",2,"cm",6,475,469,0.00754664858045989
"1060",2,"cm",6,476,470,0.00754664858045989
